"",playlist.id,playlist.name,followers.total
218,37i9dQZEVXbNBz9cRCSFkY,Top 50 - Philippines,1191447
219,37i9dQZEVXbKyJS56d1pgi,Top 50 - Portugal,195333
220,37i9dQZEVXbNZbJ6TZelCq,Top 50 - Romania,27641
221,37i9dQZEVXbLrQBcXqUtaC,Top 50 - Saudi Arabia,5298
222,37i9dQZEVXbK4gjvS1FjPY,Top 50 - Singapore,129418
223,37i9dQZEVXbKIVTPX9a2Sb,Top 50 - Slovakia,20399
224,37i9dQZEVXbMH2jvi6jvjk,Top 50 - South Africa,31071
225,37i9dQZEVXbNxXF4SkHj9F,Top 50 - South Korea,64966
226,37i9dQZEVXbNFJfN1Vw8d9,Top 50 - Spain,1507214
227,6zFJ2HTXC3d38AgpfcPGph,Top 50 - Suriname,100
228,37i9dQZEVXbLoATJ81JYXz,Top 50 - Sweden,601516
229,37i9dQZEVXbJiyhoAPEfMK,Top 50 - Switzerland,119980
230,37i9dQZEVXbMnZEatlMSiu,Top 50 - Taiwan,197435
231,37i9dQZEVXbMnz8KIWsvf9,Top 50 - Thailand,132405
232,37i9dQZEVXbIVYVBNw9D5K,Top 50 - Turkey,777250
233,37i9dQZEVXbM4UZuIrvHvA,Top 50 - UAE,2926
234,37i9dQZEVXbLRQDuF5jeBp,Top 50 - USA,3414258
235,37i9dQZEVXbKkidEfWYRuD,Top 50 - Ukraine,20134
236,37i9dQZEVXbLnolsZ8PSNw,Top 50 - United Kingdom,2180340
237,37i9dQZEVXbLdGSmz6xilI,Top 50 - Vietnam,75341
238,3seAKhZ9QXirBjL9lazOi4,Top 50 - Zimbabwe,65
239,5atgcoJ9pDa39CzCYdXkRi,Top 50 - Polska,756
240,37i9dQZEVXbMMy2roB9myp,Top 50 - Argentina,1264739
241,37i9dQZEVXbJPcfkRz0wJ0,Top 50 - Australia,807803
242,37i9dQZEVXbKNHh6NIXu36,Top 50 - Austria,117974
243,37i9dQZEVXbJNSeeHswcKB,Top 50 - Belgium,267662
244,37i9dQZEVXbJqfMFK4d691,Top 50 - Bolivia,91385
